id,genre_id,anime_id
200,33,61
201,24,61
202,38,61
203,40,61
204,33,62
205,13,62
206,8,62
207,23,62
208,24,62
209,15,62
210,33,63
211,10,63
212,40,63
213,31,64
214,26,64
215,10,64
216,19,64
217,38,64
218,33,65
219,13,65
220,16,65
221,38,65
222,41,65
223,39,66
224,16,66
225,24,66
226,38,66
227,40,66
228,33,67
229,26,67
230,2,67
231,10,67
232,27,67
233,40,67
234,39,68
235,16,68
236,24,68
237,38,68
238,40,68
239,39,69
240,5,69
241,16,69
242,38,69
243,40,69
244,38,70
245,40,70
246,13,71
247,16,71
248,21,71
249,38,71
250,11,71
251,13,72
252,6,72
253,16,72
254,24,72
255,38,72
256,11,72
257,33,73
258,13,73
259,26,73
260,39,73
261,5,73
262,10,73
263,13,74
264,16,74
265,38,74
266,10,75
267,24,75
268,19,75
269,38,75
270,40,75
271,33,76
272,7,76
273,38,76
274,40,76
275,26,77
276,39,77
277,16,77
278,19,77
279,37,77
280,38,77
281,40,77
282,15,78
283,30,78
284,38,78
285,40,78
286,24,79
287,38,79
288,40,79
289,13,80
290,26,80
291,39,80
292,5,80
293,18,80
294,24,80
295,37,80
296,13,81
297,10,81
298,13,82
299,38,82
300,41,82
301,33,83
302,13,83
303,26,83
304,13,84
305,39,84
306,24,84
307,38,84
308,33,85
309,13,85
310,24,85
311,37,85
312,7,86
313,18,86
314,37,86
315,40,86
316,33,87
317,7,87
318,38,87
319,40,87
320,33,88
321,10,88
322,37,88
323,38,88
324,40,88
325,10,89
326,25,89
327,36,89
328,38,89
329,40,89
330,35,89
331,13,90
332,24,90
333,38,90
334,40,90
335,13,91
336,26,91
337,39,91
338,10,91
339,19,91
340,38,91
341,39,92
342,10,92
343,25,92
344,35,92
345,13,93
346,33,94
347,13,94
348,26,94
349,39,94
350,22,94
351,33,95
352,13,95
353,39,95
354,19,95
355,37,95
356,40,95
357,41,95
358,33,96
359,5,96
360,37,96
361,41,96
362,39,97
363,10,97
364,25,97
365,35,97
366,18,98
367,20,98
368,37,98
369,13,99
370,26,99
371,39,99
372,10,99
373,9,100
374,13,100
375,26,100
376,16,100
377,38,100
378,11,100
379,33,101
380,10,101
381,15,101
382,19,101
383,37,101
384,40,101
385,28,102
386,4,102
387,10,102
388,12,102
389,40,102
390,33,103
391,13,103
392,16,103
393,24,103
394,38,103
395,40,103
396,11,103
397,26,104
398,24,104
399,37,104
400,38,104
401,40,104
402,13,105
403,26,105
404,39,105
405,5,105
406,37,105
407,41,105
408,28,106
409,13,106
410,26,106
411,39,106
412,8,107
413,10,107
414,16,107
415,24,107
416,37,107
417,38,107
418,28,108
419,8,108
420,38,108
421,13,109
422,38,109
423,41,109
424,8,110
425,10,110
426,24,110
427,38,110
428,40,110
429,13,111
430,37,111
431,38,111
432,40,111
433,41,111
434,13,112
435,39,112
436,38,112
437,26,113
438,24,113
439,37,113
440,38,113
441,40,113
442,31,114
443,13,114
444,26,114
445,39,114
446,22,114
447,26,115
448,24,115
449,37,115
450,38,115
451,40,115
452,13,116
453,39,116
454,7,116
455,16,116
456,38,116
457,40,116
458,11,116
459,33,117
460,8,117
461,10,117
462,19,117
463,38,117
464,35,117
465,33,118
466,13,118
467,26,118
468,39,118
469,5,118
470,33,119
471,13,119
472,26,119
473,39,119
474,5,119
475,13,120
476,26,120
477,39,120
478,22,120
479,13,121
480,10,121
481,22,121
482,24,121
483,38,121
484,13,122
485,26,122
486,39,122
487,7,123
488,10,123
489,16,123
490,24,123
491,38,123
492,40,123
493,11,123
494,28,124
495,10,124
496,29,124
497,13,125
498,10,125
499,22,125
500,24,125
501,38,125
502,13,126
503,5,126
504,38,126
505,41,126
506,33,127
507,3,127
508,8,127
509,38,127
510,40,127
511,16,128
512,24,128
513,38,128
514,11,128
515,24,129
516,38,129
517,13,130
518,26,130
519,5,130
520,16,130
521,38,130
522,40,130
523,11,130
524,24,131
525,37,131
526,38,131
527,40,131
528,39,132
529,10,132
530,22,132
531,16,133
532,24,133
533,37,133
534,38,133
535,11,133
536,28,134
537,13,134
538,10,134
539,22,134
540,23,134
541,15,134
542,31,135
543,26,135
544,39,135
545,10,135
546,13,136
547,10,136
548,24,136
549,38,136
550,25,137
551,37,137
552,40,137
553,13,138
554,10,138
555,22,138
556,19,138
557,37,138
558,33,139
559,26,139
560,10,139
561,16,139
562,38,139
563,13,140
564,10,140
565,17,140
566,40,140
567,13,141
568,22,141
569,41,141
570,10,142
571,16,142
572,24,142
573,25,142
574,38,142
575,35,142
576,11,142
577,28,143
578,13,143
579,39,143
580,25,143
581,33,144
582,10,144
583,25,144
584,19,144
585,38,144
586,35,144
587,28,145
588,13,145
589,16,145
590,36,145
591,37,145
592,38,145
593,40,145
594,28,146
595,13,146
596,21,146
597,30,146
598,37,146
599,40,146
600,19,147
601,37,147
602,38,147
603,40,147
604,13,148
605,19,148
606,30,148
607,37,148
608,40,148
609,33,149
610,7,149
611,38,149
612,40,149
613,39,150
614,10,150
615,29,150
616,33,151
617,13,151
618,39,151
619,32,152
620,26,152
621,39,152
622,10,152
623,26,153
624,2,153
625,24,153
626,38,153
627,40,153
628,24,154
629,25,154
630,36,154
631,38,154
632,35,154
633,33,155
634,13,155
635,26,155
636,5,155
637,19,155
638,37,155
639,38,155
640,41,155
641,33,156
642,13,156
643,26,156
644,5,156
645,19,156
646,37,156
647,38,156
648,41,156
649,33,157
650,13,157
651,2,157
652,24,157
653,38,157
654,40,157
655,33,158
656,13,158
657,40,158
658,13,159
659,26,159
660,39,159
661,10,159
662,19,159
663,38,159
664,37,160
665,38,160
666,40,160
667,8,161
668,10,161
669,25,161
670,35,161
671,39,162
672,16,162
673,38,162
674,40,162
675,10,163
676,18,163
677,37,163
678,40,163
679,33,164
680,7,164
681,36,164
682,38,164
683,40,164
684,1,165
685,10,165
686,18,165
687,25,165
688,37,165
689,40,165
690,35,165
691,10,166
692,15,166
693,40,166
694,13,167
695,10,167
696,24,167
697,37,167
698,40,167
699,33,168
700,24,168
701,40,168
702,13,169
703,26,169
704,39,169
705,10,169
706,19,169
707,38,169
708,39,170
709,10,170
710,20,170
711,24,171
712,37,171
713,38,171
714,40,171
715,24,172
716,38,172
717,40,172
718,33,173
719,13,173
720,40,173
721,13,174
722,26,174
723,16,175
724,24,175
725,38,175
726,40,175
727,33,176
728,13,176
